Last Name, First Name, Middle Name,Suffix,Entity Name,Formatted Name,Attention,Address Line 1,Address Line 2,City,State,County,Mail Zip Code,Mail Zip Code + 4,License Type,Sub Category,License Number,License First Issue Date,License Last Renewed Date,License Expiration Date, License Status Description,Specialty,Title,Degree(s),Case Number,Program Action,Discipline Effective Date,Discipline Complete Date,
,,,,"C" The Cut,"C" The Cut,,1206 E Mesquite,,Bayfield,CO,La Plata,81122,1122,REG,,70004341,12/09/1998,12/01/2001,11/30/2003,Expired,,,,,,,,
,,,,"C" The Cut,"C" The Cut,,755 BECKER STREET,,IGNACIO,CO,,81137,1137,REG,,70022468,04/10/1998,12/09/1998,12/09/1998,Expired,Fixed Location,,,,,,,
,,,,"CAUTIVA" Beauty Salon,"CAUTIVA" Beauty Salon,,20595 E 47th Ave,,Denver,CO,Denver,80249,0249,REG,,1646,04/22/2005,12/01/2007,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,"Patty's Wild Hair","Patty's Wild Hair",,209 E Main St,,Cortez,CO,Montezuma,81321,1321,REG,,2489,01/11/2007,12/01/2007,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,10 Perfect Nails,10 Perfect Nails,,1461 Peoria St,,Aurora,CO,Arapahoe,80011,0011,REG,,170003977,01/17/1997,12/01/2003,11/30/2005,Expired,Fixed Location,,,,,,,
,,,,1013 Barbershop LLC,1013 Barbershop LLC,,6001 S Willow Dr,Studio 9,Greenwood Village,CO,Arapahoe,80111,5111,REG,,2000033895,06/01/2021,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,109 Hair Design,109 Hair Design,,109 S 5th St,,Canon City,CO,Fremont,81212,3709,REG,,2000029102,02/20/2014,12/01/2021,11/30/2023,Expired,Fixed Location,,,,,,,
,,,,1st Ave Hairstyling,1st Ave Hairstyling,,3487 W 1st Ave,,Denver,CO,Denver,80219,1448,REG,,181042900,10/24/1996,11/30/2001,11/30/2001,Expired,Fixed Location,,,,,,,
,,,,1st Class Barbershop Inc,1st Class Barbershop Inc,,987 Highway 340,,Fruita,CO,Mesa,81521,9516,REG,,2000032695,08/06/2019,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,303 Cuts,303 Cuts,,4847 Morrison Rd,,Denver,CO,Denver,80219,0219,REG,,3487,04/30/2009,04/30/2009,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,4045 a Salon,4045 a Salon,,111 W 4th St,,Pueblo,CO,Pueblo,81003,1003,REG,,3920,05/12/2010,05/12/2010,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,5280 Beauty Ave,5280 Beauty Ave,,1152 S Colorado Blvd # 106,,Glendale,CO,Arapahoe,80246,3003,REG,,2000031643,08/08/2018,08/08/2018,11/30/2019,Expired,Fixed Location,,,,,,,
,,,,7 Hair Salon,7 Hair Salon,,15454 E MIssissippi Ave,,Aurora,CO,Arapahoe,80012,0012,REG,,170003740,05/06/1994,08/23/2007,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,719 Barbershop,719 Barbershop,,2047 B St,,Colorado Springs,CO,El Paso,80906,4721,REG,,2000036453,02/11/2025,02/11/2025,11/30/2025,Expired,,,,2025-3663,CLS Combined w/other case for action,07/21/2025,,
,,,,"10and5, LLC","10and5, LLC",,5321 Brotherton Ct,,Castle Rock,CO,Douglas,80104,9866,REG,,2000035428,02/26/2024,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,180 Image,180 Image,,4570 Hilton Pkwy Ste 104,,Colorado Springs,CO,El Paso,80919,0919,REG,,3952,06/02/2010,12/01/2011,11/30/2013,Expired,Fixed Location,,,,,,,
,,,,1Stop Beauty Bar LLC,1Stop Beauty Bar LLC,,419 Sable Blvd,,Aurora,CO,Arapahoe,80011,8800,REG,,2000034701,11/16/2022,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,2 Dye 4 Hair Salon,2 Dye 4 Hair Salon,,2493 Hwy 6 & 50 Unit 16,,Grand Junction,CO,Mesa,81505,1104,REG,,2000029096,02/19/2014,02/19/2014,11/30/2015,Expired,Fixed Location,,,,,,,
,,,,29th Nail Spa,29th Nail Spa,,1855 29th St,,Boulder,CO,Boulder,80301,1065,REG,,2000029304,06/19/2014,12/01/2023,11/30/2025,Expired,Fixed Location,,,,,,,
,,,,303 Lash LLC,303 Lash LLC,,1111 N Broadway,,Denver,CO,Denver,80203,2105,REG,,2000031634,07/23/2018,12/01/2023,11/30/2025,Expired,Fixed Location,,,,,,,
,,,,313 Barber Studio,313 Barber Studio,,1111 N Broadway Ste 309,,Denver,CO,Denver,80203,2127,REG,,2000034529,07/25/2022,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,360 Degrees A Salon,360 Degrees A Salon,,1019 37th Ave Ct,,Greeley,CO,Weld,80634,0634,REG,,3043,04/11/2008,04/11/2008,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,5 Diamond Partnership LLC,5 Diamond Partnership LLC,,817 9th Suite A,,Greeley,CO,Weld,80631,0631,REG,,2802,09/13/2007,09/13/2007,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,5 Generations Barber Shop,5 Generations Barber Shop,,315 Santa Fe Ave,,La Junta,CO,Otero,81050,1050,REG,,4516,10/13/2011,10/13/2011,11/30/2013,Expired,Fixed Location,,,,,,,
,,,,50th N Feds,50th N Feds,,5042 Federal Blvd,,Denver,CO,Denver,80221,1140,REG,,2000029266,06/04/2014,06/04/2014,11/30/2015,Expired,Fixed Location,,,,,,,
,,,,5280 Salon,5280 Salon,,26053 E Geddes Cir,,Aurora,CO,Arapahoe,80016,5221,REG,,2000032975,01/27/2020,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,5280 Salon Express,5280 Salon Express,,13923 E Exposition Ave Ste 11,,Aurora,CO,Arapahoe,80012,0012,REG,,2405,10/16/2006,12/01/2007,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,5th Element Hair Studio LLC,5th Element Hair Studio LLC,,5220 Wadsworth Blvd Ste J,,Arvada,CO,Jefferson,80002,0002,REG,,3446,04/15/2009,12/01/2011,11/30/2013,Expired,Fixed Location,,,,,,,
,,,,"Ab"solutely Nails & More ...,"Ab"solutely Nails & More ...,,105 East Elm,,Lamar,CO,Prowers,81052,1052,REG,,1359,10/20/2004,12/01/2005,11/30/2007,Expired,Fixed Location,,,,,,,
,,,,"It's A Hair Thing","It's A Hair Thing",,3814 LOWELL BLVD,,DENVER,CO,,80212,0212,REG,,181054075,08/06/1999,11/30/2001,11/30/2001,Expired,Fixed Location,,,,,,,
,,,,""Tanya" Does Hair, LLC",""Tanya" Does Hair, LLC",,4992 Titan Way,,Denver,CO,Denver,80239,0239,REG,,3836,03/08/2010,03/08/2010,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,%Human Resources Dept,%Human Resources Dept,,12257 STATE HWY 121,,LITTLETON,CO,,80201,0201,REG,,200027200,01/18/2001,12/01/2002,11/30/2004,Expired,Fixed Location,,,,,,,
,,,,%Human Resources Dept,%Human Resources Dept,,12999 DEER CREEK CANYON RD,,LITTLETON,CO,,80127,0127,REG,,200027730,01/18/1980,12/01/2002,11/30/2004,Expired,Fixed Location,,,,,,,
,,,,10N Beauty Salon,10N Beauty Salon,,3355 S Wadswroth Blvd H109-H111,,Lakewood,CO,,80227,0227,REG,,2000035642,06/26/2024,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,13th Avenue Beauty Salon,13th Avenue Beauty Salon,,1233 E. 13th Ave.,,Denver,CO,Denver,80218,0218,REG,,182043640,03/31/1977,12/01/2005,11/30/2007,Expired,Fixed Location,,,,,,,
,,,,2 Tall Enterprises,2 Tall Enterprises,,3875 Evergreen Pkwy,,Evergreen,CO,Jefferson,80439,0439,REG,,1055,02/27/2004,02/27/2004,11/30/2005,Expired,Fixed Location,,,,,,,
,,,,3rd Generation Salon LLC,3rd Generation Salon LLC,,4855 S Niagara St,,Denver,CO,Denver,80237,3343,REG,,2000033467,09/24/2020,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,4 One 3 Hair Salon,4 One 3 Hair Salon,,6496 E 73rd Ave,,Commerce City,CO,Adams,80022,1709,REG,,2000037145,02/02/2026,02/02/2026,11/30/2027,Active,,,,,,,,
,,,,4 Shades of Beauty Hair Salon and Extension Bar,4 Shades of Beauty Hair Salon and Extension Bar,,3505 N Hancock Ave,,Colorado Springs,CO,El Paso,80907,4871,REG,,2000035807,10/14/2024,10/14/2024,11/30/2025,Expired,,,,,,,,
,,,,5280 Beauty Ave,5280 Beauty Ave,,5220 Wadsworth Byp Unit J,,Arvada,CO,Jefferson,80002,3749,REG,,2000032420,01/03/2019,12/01/2019,11/30/2021,Expired,Fixed Location,,,,,,,
,,,,5280 Complexion LLC,5280 Complexion LLC,,486 S Broadway,,Denver,CO,Denver,80209,1518,REG,,2000032141,11/19/2018,12/01/2021,11/30/2023,Expired,Fixed Location,,,,,,,
,,,,970 Nail Bar,970 Nail Bar,,2121 N Lincoln Ave,,Loveland,CO,,80538,3863,REG,,2000031067,08/16/2017,08/16/2017,11/30/2019,Expired,Fixed Location,,,,,,,
